Year	Liquid wholemilk (ml)	Skimmed milk 	Yoghurt and fromage frais	Total milk and cream 	Natural cheese 	Processed cheese	Total cheese 	Eggs ( )	Oranges and other citrus fruit 	Apples and pears	Bananas	Total fresh fruit 	Fruit juice (ml)	Total other fruit  (c)	Total Fruit 	Potatoes	Fresh green vegetables	Other fresh vegetables	Canned vegetables	Frozen vegetables	Other vegetables and products (d)	Total vegetables 	Bread	Flour	Cakes and pastries	Biscuits	Break-fast cereal	Total cereals (excluding bread) 	Bread & cereal products 	Sugar	Preserves 	Tea	Coffee	Total beverages 	Fresh white fish	Fresh fat fish	Shellfish	Cooked fish	Total fish and fish products 	Butter	Margarine	Lard	All other fats (f)	Vegetable and oils	Low fat spreads	Reduced fat spreads	Total fats 	Beef and veal	Mutton and lamb	Pork	Bacon and ham	Pork, bacon and ham	Poultry	Sausages	Total meat and meat products 
1962	2812.89434950755			2989.05540977974	78.2446837284	10.2058283124	88.4505120408	4.68	119.067996978	202.6990900935	103.1922640476	506.6059776183	14	185.6893762395	692.2953538578	1484.3810289924	407.3826468033	392.3573995656	183.9884048541	21.8291327793	274.7068787421	2423.884224195	1235.1887210313	176.3340336198	187.3903476249	163.0097577675	54.4310843328	713.5574961753	1948.7462172066	521.631224856	92.9864357352	79.0951694211	11.339809236	100.9243022004	68.6058458778	7.0873807725	1.7009713854	25.2310755501	164.1437386911	175.767043158	89.3009977335	60.6679794126	14.174761545				339.9107818491	255.4292030409	190.5087951648	64.9204078761	182.2874334687	247.2078413448	67.4718649542	108.5786734347	1069.3440109548
1963	2829.94219405002			3017.46848401719	79.6621598829	9.9223330815	89.5844929644	4.58	107.728187742	220.8427848711	93.8369214279	507.7399585419	15	189.6583094721	697.398268014	1575.3829981113	353.8020481632	400.0117707999	192.4932617811	28.9165135518	300.504944754	2500.9949269998	1226.4003688734	184.5553953159	186.2563667013	158.1903388422	54.9980747946	712.9905057135	1939.3908745869	524.1826819341	89.5844929644	79.9456551138	12.4737901596	103.7592545094	66.6213792615	7.6543712343	1.9844666163	28.34952309	164.7107291529	169.5301480782	94.1204166588	62.0854555671	15.5922376995				341.3282580036	268.4699836623	180.3029668524	70.3068172632	176.6175288507	246.9243461139	73.4252648031	106.3107115875	1080.116829729
1964	2756.06820103265			2932.22926130484	78.5281789593	11.339809236	89.8679881953	4.73	123.8874159033	225.3787085655	93.8369214279	520.2137487015	16	192.4932617811	712.7070104826	1533.9926943999	392.9243900274	415.8875037303	195.3282140901	23.5301041647	300.2214495231	2503.5463840779	1189.8294840873	172.0816051563	183.4214143923	162.4427673057	57.2660366418	702.7846774011	1892.6141614884	492.4312160733	83.9145883464	76.2602171121	12.7572853905	98.9398355841	63.2194364907	7.9378664652	1.9844666163	28.34952309	168.3961671546	169.5301480782	94.9709023515	60.1009889508	16.4427233922				341.0447627727	241.8214319577	178.601995467	66.0543887997	177.4680145434	243.5224033431	79.9456551138	105.1767306639	1054.3187637171
1965	2756.06820103265			2949.27710584731	80.5126455756	10.2058283124	90.718473888	4.78	122.4699397488	230.7651179526	100.9243022004	532.6875388611	19	191.9262713193	724.6138101804	1509.3286093116	406.5321611106	406.2486658797	193.6272427047	23.8135993956	303.6233922939	2495.8920128436	1150.990637454	172.6485956181	190.7922903957	165.2777196147	55.8485604873	729.4332291057	1880.4238665597	497.8176254604	84.7650740391	73.9922552649	12.4737901596	97.5223594296	63.7864269525	7.3708760034	1.7009713854	28.34952309	163.8602434602	172.932090849	86.1825501936	60.1009889508	17.009713854				336.2253438474	229.0641465672	167.262186231	79.378664652	179.1689859288	258.5476505808	99.5068260459	105.7437211257	1065.942068184
1966	2801.52911981257			3017.46848401719	78.5281789593	9.6388378506	88.1670168099	4.77	132.6757680612	233.8835654925	101.4912926622	542.8933671735	15	185.4058810086	728.2992481821	1488.0664669941	382.718561715	394.6253614128	195.0447188592	37.9883609406	324.8855346114	2456.7696709794	1095.4255721976	168.6796623855	183.1379191614	158.757329304	63.7864269525	708.73807725	1804.1636494476	483.3593686845	80.5126455756	74.8427409576	13.3242758523	99.5068260459	61.8019603362	6.8038855416	1.7009713854	28.9165135518	164.1437386911	172.6485956181	79.0951694211	60.3844841817	17.5767043158	9.0718473888			329.7049535367	230.4816227217	178.0350050052	78.2446837284	177.1845193125	255.4292030409	115.0990637454	101.7747878931	1085.5032391161
1967	2778.79866042261			2994.73802462723	85.04856927	9.9223330815	94.9709023515	4.72	137.4951869865	200.1476330154	95.5378928133	501.2195682312	15	188.2408333176	689.4604015488	1480.9790862216	373.3632190953	393.7748757201	206.1010328643	36.5708847861	340.7612675418	2451.6667568232	1134.5479140618	164.1437386911	171.2311194636	166.4117005383	66.6213792615	710.1555534045	1844.7034674663	487.8952923789	80.7961408065	76.543712343	13.6077710832	100.9243022004	59.533998489	6.5203903107	1.7009713854	30.0504944754	164.1437386911	175.4835479271	85.04856927	59.2505032581	18.1436947776	10.7728187742			337.9263152328	244.0893938049	171.7981099254	64.9204078761	173.7825765417	238.7029844178	113.6815875909	99.223330815	1085.5032391161
1968	2739.02035649018			2966.32495038978	87.3165311172	9.3553426197	96.6718737369	4.66	142.0311106809	206.3845280952	92.7029405043	527.0176342431	17	186.5398619322	713.5574961753	1471.9072388328	369.9612763245	394.9088566437	206.6680233261	44.5087512513	351.8175815469	2454.2182139013	1086.0702295779	152.5204342242	171.2311194636	165.5612148456	68.8893411087	706.7536106337	1792.8238402116	463.5147025215	79.0951694211	73.4252648031	15.0252472377	101.2077974313	56.4155509491	5.9533998489	1.7009713854	30.3339897063	161.3087863821	174.0660717726	79.6621598829	58.9670080272	20.9786470866	14.174761545			333.6738867693	219.9922991784	161.8757768439	71.7242934177	172.6485956181	244.3728890358	136.3612060629	104.893235433	1090.6061532723
1969	2778.79866042261			3006.10325432221	89.3009977335	9.9223330815	99.223330815	4.6	145.1495582208	216.0233659458	98.0893498914	542.0428814808	18	192.4932617811	734.5361432619	1397.9149835679	347.2816578525	400.0117707999	210.9204517896	49.3281701766	368.8272954009	2376.2570254038	1069.9110014166	152.5204342242	166.1282053074	164.7107291529	74.5592457267	704.7691440174	1774.680145434	458.6952835962	75.6932266503	71.4407981868	16.4427233922	100.9243022004	53.864093871	6.5203903107	1.4174761545	26.3650564737	154.7883960714	174.3495670035	78.8116741902	58.9670080272	22.3961232411	15.3087424686			334.524372462	218.291327793	151.3864533006	78.8116741902	171.5146146945	250.3262888847	139.7631488337	104.3262449712	1091.456638965
1970	2631.05067438787			2886.76834252492	92.1359500425	9.6388378506	101.7747878931	4.66	142.0311106809	234.4505559543	84.7650740391	542.6098719426	17	180.8699573142	723.4798292568	1469.6392769856	371.9457429408	394.058370951	219.9922991784	48.7611797148	381.5845807914	2577.2551441119	1080.4003249599	161.0252911512	161.0252911512	163.2932529984	77.6776932666	711.0060390972	1791.4063640571	480.2409211446	72.8582743413	73.4252648031	16.1592281613	102.3417783549	49.6116654075	5.9533998489	1.1339809236	28.6330183209	151.6699485315	169.8136433091	81.0796360374	62.6524460289	25.2310755501	17.2932090849			338.7768009255	221.126280102	148.8349962225	80.2291503447	177.4680145434	257.6971648881	143.4485868354	106.0272163566	1120.6566477477
1971	2693.55943771026			2932.22926130484	92.1359500425	10.7728187742	102.9087688167	4.55	158.4738340731	246.640850883	88.4505120408	568.9749284163	26	188.8078237794	757.7827521957	1394.2295455662	379.6001141751	412.7690561904	203.5495757862	51.8796272547	359.1884575503	2505.8143459251	1013.7789456984	166.1282053074	154.7883960714	164.427233922	75.9767218812	709.0215724809	1722.8005181793	447.922464822	76.8272075739	67.7553601851	17.009713854	95.2543975824	51.3126367929	5.9533998489	1.4174761545	26.6485517046	146.0000439135	156.7728626877	89.3009977335	56.1320557182	26.6485517046	17.2932090849			328.854467844	225.6622037964	153.3709199169	86.1825501936	171.2311194636	257.4136696572	139.4796536028	104.6097402021	1105.9148957409
1972	2625.36805954038	5.68261484749	22.73045938996	2869.72049798245	91.5689595807	8.504856927	100.0738165077	4.41	136.077710832	207.8020042497	81.6466264992	497.2506349986	26	186.8233571631	684.0739921617	1323.922728303	376.7651618661	383.2855521768	256.5631839645	61.5184651053	388.388466333	2472.3619086789	976.3575752196	153.6544151478	144.8660629899	159.3243197658	81.0796360374	687.7594301634	1664.117005383	425.8098368118	72.5747791104	63.5029317216	18.1436947776	91.8524548116	42.8077798659	5.1029141562	1.4174761545	29.4835040136	143.1650916045	135.7942156011	99.7903212768	53.5805986401	26.0815612428	17.009713854			315.2466967608	195.611709321	140.6136345264	87.883521579	159.8913102276	247.7748318066	161.3087863821	100.6408069695	1072.7459537256
1973	2699.24205255775	5.68261484749	22.73045938996	2937.91187615233	96.6718737369	9.6388378506	106.3107115875	4.23	148.5515009916	207.5185090188	83.6310931155	507.456463311	37	200.1476330154	707.6040963264	1302.0935955237	353.8020481632	394.9088566437	258.2641553499	78.8116741902	405.398180187	2456.2026805176	947.4410616678	148.8349962225	136.3612060629	164.9942243838	83.6310931155	696.5477823213	1643.9888439891	388.1049711021	71.1573029559	61.2349698744	17.2932090849	87.6000263481	38.8388466333	5.3864093871	1.7009713854	21.2621423175	133.5262537539	148.5515009916	85.8990549627	51.8796272547	31.7514658608	23.2466089338			318.0816490698	178.8854906979	125.8718825196	85.04856927	151.3864533006	236.4350225706	172.6485956181	96.6718737369	1038.4430307867
1974	2680	7	26	2897	97	8	105	4.08	133	221	80	499	30	171	670	1304	351	390	255	77	403	2448	946	154	99	159	81	681	1627	371	71	63	18	91	36	4	2	21	123	160	74	52	30	21			316	208	114	90	146	236	146	98	1021
1975	2709	7	24	2913	99	8	107	4.14	140	211	81	495	38	181	676	1243	327	390	256	91	417	2377	956	149	88	157	87	668	1624	319	69	62	18	88	37	5	2	19	127	160	74	55	27	18			315	238	120	78	142	220	160	92	1054
1976	2680	6	27	2887	99	8	107	4.09	138	231	82	519	37	180	699	992	325	409	267	92	421	2147	941	169	80	159	92	690	1631	346	64	63	18	89	34	4	2	18	129	147	86	53	25	17			311	217	120	81	142	223	170	93	1050
1977	2579	8	28	2784	101	7	108	4	138	204	84	497	41	171	668	1155	345	417	255	102	412	2329	928	183	79	159	94	703	1631	342	67	58	14	82	33	5	2	14	117	133	98	53	26	17			311	233	113	94	152	246	174	98	1092
1978	2525	12	34	2742	99	7	105	3.97	137	216	84	515	51	176	691	1243	380	446	247	103	418	2487	912	169	76	154	98	684	1596	336	61	56	16	79	34	5	2	18	121	129	100	54	32	23			315	234	111	94	153	247	175	100	1102
1979	2448	14	39	2689	102	7	109	3.88	141	250	82	557	63	181	738	1235	310	440	267	116	455	2440	891	163	81	157	96	692	1583	328	61	60	17	87	32	6	2	21	128	126	103	53	31	20			313	235	121	103	154	257	193	98	1142
1980	2364	20	48	2604	104	6	110	3.69	149	250	87	590	87	205	795	1163	353	449	255	130	458	2423	882	161	79	154	99	689	1571	317	58	58	19	85	32	7	3	21	136	115	108	51	43	30			318	231	128	117	149	266	189	92	1140
